Date,Time,Result
2025-12-23,22:13:40.295605,NOT OK
2025-12-23,22:13:40.696120,NOT OK
2025-12-23,22:13:40.858238,NOT OK
2025-12-23,22:13:40.936542,NOT OK
2025-12-23,22:13:41.051187,NOT OK
2025-12-23,22:13:41.168556,NOT OK
2025-12-23,22:13:41.288563,NOT OK
2025-12-23,22:13:41.388949,NOT OK
2025-12-23,22:13:41.553269,NOT OK
2025-12-23,22:13:41.689276,NOT OK
2025-12-23,22:13:41.831289,NOT OK
2025-12-23,22:13:41.997647,NOT OK
2025-12-23,22:13:42.091560,NOT OK
2025-12-23,22:13:42.231099,NOT OK
2025-12-23,22:13:42.350572,NOT OK
2025-12-23,22:13:42.633606,NOT OK
2025-12-23,22:13:43.476734,NOT OK
2025-12-23,22:13:43.617572,NOT OK
2025-12-23,22:13:43.732324,NOT OK
2025-12-23,22:13:43.859732,NOT OK
2025-12-23,22:13:43.936751,NOT OK
2025-12-23,22:13:44.044426,NOT OK
2025-12-23,22:13:44.130253,NOT OK
2025-12-23,22:13:44.173681,NOT OK
2025-12-23,22:13:44.212044,NOT OK
2025-12-23,22:13:44.268721,NOT OK
2025-12-23,22:13:44.335031,NOT OK
2025-12-23,22:13:44.379861,NOT OK
2025-12-23,22:13:44.418165,NOT OK
2025-12-23,22:13:44.519004,NOT OK
2025-12-23,22:13:44.636507,NOT OK
2025-12-23,22:13:44.726885,NOT OK
2025-12-23,22:13:44.914138,NOT OK
2025-12-23,22:13:45.080469,NOT OK
2025-12-23,22:13:45.198282,NOT OK
2025-12-23,22:13:45.320417,NOT OK
2025-12-23,22:13:45.414114,NOT OK
2025-12-23,22:13:45.721544,NOT OK
2025-12-23,22:13:46.168175,NOT OK
2025-12-23,22:13:46.324497,NOT OK
2025-12-23,22:13:46.535682,NOT OK
2025-12-23,22:13:46.664269,NOT OK
2025-12-23,22:13:46.774745,NOT OK
2025-12-23,22:13:46.871334,NOT OK
2025-12-23,22:13:47.059843,NOT OK
2025-12-23,22:13:47.622493,NOT OK
2025-12-23,22:13:47.818570,NOT OK
2025-12-23,22:13:47.930198,NOT OK
2025-12-23,22:13:48.201073,NOT OK
2025-12-23,22:13:48.602329,NOT OK
2025-12-23,22:13:49.452325,NOT OK
2025-12-23,22:13:49.605890,NOT OK
2025-12-23,22:13:49.901931,NOT OK
2025-12-23,22:13:50.489778,NOT OK
2025-12-23,22:13:50.759993,NOT OK
2025-12-23,22:13:50.883805,NOT OK
2025-12-23,22:13:51.089746,NOT OK
2025-12-23,22:13:51.339299,NOT OK
2025-12-23,22:13:51.683202,NOT OK
2025-12-23,22:13:52.052691,NOT OK
2025-12-23,22:13:52.342102,NOT OK
2025-12-23,22:13:52.538315,NOT OK
2025-12-23,22:13:52.677671,NOT OK
2025-12-23,22:13:52.839864,NOT OK
